Product Name,Value 1,Value 2 (Korean),Value 2 (English),Value 3,summary,image,reason,period,youtube
가랏,145.5,중,Medium,2,봄철에 수확하는 부드럽고 고소한 맛의 나물로 입맛을 돋워줍니다,https://oasisprodproduct.edge.naverncp.com/85697/detail/2_2dd7727e-7ceb-4565-809b-58b31a5b650c.jpg,겨울이 비교적 온화하고 배수가 잘되는 토양이 많아 월동 작물로 적합합니다.,910월에 파종하여 이듬해 34월에 수확합니다,
가죽나물,288.1,중,Medium,2,봄에 나는 독특한 향과 쌉싸름한 맛을 지닌 산나물입니다.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmfuqB23uaJny4Nc5OkRBBilw4ub5okag8aw&s,산지와 경사지가 많고 청정 환경이 유지되어 자생 및 채취에 유리합니다.,4~5월 사이 새순을 채취합니다,
가지,330.2,중,Medium,2,여름철 대표 채소로 부드럽고 수분이 풍부해 다양한 요리에 사용됩니다.,https://lh5.googleusercontent.com/proxy/YOTCth7WxVcLIIOHMZGpMAwHZN6M4xT2-lSOqs59YAQrmAVjVREjHBMM-ig9ACUn1_zmm-Zge0d4fjCsn9Mh6TwyxTgAOHRPG2PkQkjhMaUU-KYp2SNB,일조량이 풍부하고 여름철 고온에 강해 고품질 생산이 가능합니다.,45월에 정식하여 79월에 수확합니다.,
가지나무순,300.5,중,Medium,2,"가지 새순 나물, 별미로 인기.",,,,
갈치,255.4,중,Medium,2,"서식지 관리 중요, 연안 어종.",,,,
감귤,110.8,하,Low,1,"노지 월동 불가, 껍질 활용 가능.",,,,
감자,65.3,하,Low,1,"씨감자 파종, 척박한 땅에도 강함.",,,,
갓,115.7,하,Low,1,"김치용 채소, 서늘한 기후 선호.",,,,
강낭콩,95.2,하,Low,1,"덩굴성 작물, 지지대 설치 필요.",,,,
강황,180.4,중,Medium,2,"열대 작물, 뿌리 활용 다양.",,,,
건고추,450.1,상,High,3,"고추 건조 식품, 저장성 우수.",,,,
겨자,120.3,하,Low,1,"잎과 씨 활용, 매운맛 조미료.",,,,
겨자잎,155.8,중,Medium,2,"쌈채소용 잎, 시원한 맛 특징.",,,,
겨자채,155.8,중,Medium,2,"샐러드용 채소, 아삭한 식감.",,,,
고구마,75.6,하,Low,1,"뿌리 작물, 배수 좋은 땅 선호.",,,,
고구마순,250.9,중,Medium,2,"고구마 덩굴, 나물용으로 인기.",,,,
고들빼기,210.6,중,Medium,2,"쌉쌀한 맛, 김치용으로 적합.",,,,
고등어,45.2,하,Low,1,"등푸른 생선, 찬 바다 서식.",,,,
고비,350.7,중,Medium,2,"산나물 일종, 독성 제거 필수.",,,,
고사리,335.1,중,Medium,2,"대표적인 산나물, 생장력 강함.",,,,
고수,160.2,중,Medium,2,"향신 채소, 동남아 요리 필수.",,,,
고추잎,280.3,중,Medium,2,"고추 잎 나물, 독특한 향미.",,,,
곤달비,295.4,중,Medium,2,"나물용 산채, 반그늘 선호.",,,,
곤드레나물,255.8,중,Medium,2,"나물용 산채, 밥에 비벼 먹음.",,,,
과루인(하늘타리),200.1,중,Medium,2,"약용 식물, 열매 활용.",,,,
구기자,220.7,중,Medium,2,"약용 열매, 햇볕 잘 드는 곳.",,,,
그레이프푸룻(자몽),115.3,하,Low,1,"감귤류 과일, 쌉쌀한 맛.",,,,
그린빈스,180.9,중,Medium,2,"꼬투리 채소, 서양 요리 활용.",,,,
근대,140.7,중,Medium,2,"쌈채소, 재배 쉽고 성장 빠름.",,,,
금감,125.6,하,Low,1,"작고 둥근 감귤, 껍질째 섭취.",,,,
금강초,210.4,중,Medium,2,"약용 식물, 번식력 우수.",,,,
깻잎,380.5,상,High,3,"향 좋은 쌈채소, 들깨 잎 식용.",,,,
꽈리고추,480.6,상,High,3,"주름진 고추, 조림용 적합.",,,,
냉이,230.1,중,Medium,2,"봄나물 대표, 향과 맛 우수.",,,,
넙치,150.8,중,Medium,2,"저서성 어류, 양식 활발.",,,,
노루궁뎅이버섯,450.3,상,High,3,"약용 버섯, 재배 까다로움.",,,,
농어,160.7,중,Medium,2,"고급 어종, 해안가 서식.",,,,
느타리버섯,380.9,상,High,3,"일반 버섯, 재배 쉽고 다용도.",,,,
다래,190.2,중,Medium,2,"키위와 유사, 시원한 맛 특징.",,,,
단감,120.5,하,Low,1,"가을 과일, 떫은맛 없음.",,,,
달래,240.8,중,Medium,2,"봄나물, 매운 향과 맛 특징.",,,,
당근,85.4,하,Low,1,"뿌리채소, 흙 깊이 파야 함.",,,,
대구,80.1,하,Low,1,"한류성 어종, 살이 부드러움.",,,,
대추,280.7,중,Medium,2,"약용 열매, 당도가 높고 저장성 좋음.",,,,
대파,130.6,하,Low,1,"독특한 향과 맛으로 요리에 쓰이며, 비타민 A, C가 많습니다.",https://img.khan.co.kr/news/2024/03/31/news-p.v1.20240331.ad825a1abb134514959c80f8f1b8b8eb_P1.jpg,"서늘한 기온, 물 빠짐 좋은 흙",봄 또는 가을에 파종하여 3~9개월 후 수확하며 연중 재배 가능합니다.,https://youtu.be/ZgAL_t0rm0M?feature=shared
더덕,250.3,중,Medium,2,"뿌리채소, 향이 진하고 약용.",,,,
도라지,260.1,중,Medium,2,"뿌리채소, 약용 및 식용 겸함.",,,,
도루묵,95.3,하,Low,1,"겨울철 별미, 알이 특히 고소.",,,,
도토리,450.9,상,High,3,"참나무 열매, 묵으로 가공.",,,,
돌나물,200.4,중,Medium,2,"봄나물, 번식력 강하고 쉬움.",,,,
돔,170.2,중,Medium,2,"고급 어종, 다양한 종류 존재.",,,,
돗나물,200.4,중,Medium,2,"돌나물과 유사, 봄철 섭취.",,,,
동부,98.6,하,Low,1,"콩과 작물, 여름철 재배 적합.",,,,
동초,125.7,하,Low,1,"겨울철 맛이 좋고, 철분과 칼슘이 풍부합니다.",https://icoop.or.kr/coopmall/goodimages/30574L1700_SUB4.jpg,"추위에 강해 겨울에 잘 자라며, 저온에서 당도가 높아집니다.",10월경 파종하여 겨울을 나고 이듬해 봄까지 수확합니다.,https://youtu.be/G14WKD46oGA?feature=shared
동충하초,850.1,상,High,3,"약용 버섯, 고온다습 환경.",,,,
두릅,310.5,중,Medium,2,"봄나물 대표, 쌉쌀한 맛 일품.",,,,
들깨,90.2,하,Low,1,"기름 작물, 잎은 쌈으로 사용.",,,,
딸기,680.7,상,High,3,"과일, 저온에서 잘 자람.",,,,
땅콩,110.4,하,Low,1,"콩과 작물, 땅속에서 열매 맺음.",,,,
떫은감,130.8,하,Low,1,"비타민 C, 칼륨이 풍부하며 곶감 등으로 가공됩니다.",https://thumb.photo-ac.com/82/82eeefdb062f23eeed2738dc9abafede_t.jpeg,"따뜻한 기후, 충분한 햇볕, 배수 좋은 흙.",주로 가을에 심어 10월 중하순에 수확합니다.,https://youtu.be/HoVpKiE30gE?feature=shared
레드쉬,90.3,하,Low,1,"붉은색 무, 샐러드용 채소.",,,,
레몬,118.9,하,Low,1,"감귤류 과일, 신맛 강한 향신.",,,,
로메인,165.2,중,Medium,2,"샐러드용 상추, 아삭한 식감.",,,,
루꼴라,170.5,중,Medium,2,"향신 채소, 샐러드에 활용.",,,,
마,190.8,중,Medium,2,"뿌리채소, 건강 식품으로 인기.",,,,
마늘,125.3,하,Low,1,"향신 채소, 김치 필수 재료.",,,,
만가닥,430.6,상,High,3,"버섯 종류, 식감 좋고 향미.",,,,
만감,112.7,하,Low,1,"감귤류 과일, 단맛과 향 일품.",,,,
매실,150.1,중,Medium,2,"과일, 효소 및 장아찌 재료.",,,,
머위대,260.4,중,Medium,2,"머위 줄기, 나물용으로 사용.",,,,
메론,280.9,중,Medium,2,"과일, 고온다습 선호, 당도 높음.",,,,
